ip,country,port,org,isp,hostnames,timestamp,product,version,vulns
185.70.111.205,Ukraine,143,Reliable hosting in Ukraine,LLC Renome-Service,"['mail.pani.sumy.ua', 'mail.change-domain-47383.com']",2026-03-31 18:02:36.722243,,,
146.120.175.181,Ukraine,6881,ALFA TELECOM s.r.o.,GIPERNET LLC,['181.175.120.146.in-addr.arpa'],2026-03-31 18:02:34.000282,,,
195.66.214.32,Ukraine,2082,Virtual Systems LLC,Virtual Systems LLC,['jaskolski.outsiderinting.com'],2026-03-31 18:02:31.687601,,,
91.223.194.253,Ukraine,1701,PP Unimedia,Khanas Roman Ivanovych,[],2026-03-31 18:02:31.552024,,,
185.66.91.199,Ukraine,465,Virtual Systems LLC,Virtual Systems LLC,['mail.asianarabglobalfinace.com'],2026-03-31 18:02:30.718775,,,
62.122.60.19,Ukraine,21,Trofim A. Belik,OOO NPO Intermet,['CARP-60-19.vnet.site'],2026-03-31 18:02:29.608705,,,
78.109.25.26,Ukraine,22,Tehnologii Budushego LLC,Tehnologii Budushego LLC,[],2026-03-31 18:02:28.684618,,,
194.28.52.162,Ukraine,587,TOV TRK Radioservice,"TOV ""TRK Radioservice""",['ki.sumdu.edu.ua'],2026-03-31 18:02:28.080435,,,
178.93.187.36,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:27.881577,,,
178.92.228.132,Ukraine,80,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:27.211050,Apache httpd,2.4.62,"CVE-2024-47252, CVE-2025-49630, CVE-2025-55753, CVE-2025-58098, CVE-2013-4365, CVE-2012-3526, CVE-2009-2299, CVE-2025-66200, CVE-2009-0796, CVE-2012-4001, CVE-2024-42516, CVE-2012-4360, CVE-2011-1176, CVE-2011-2688, CVE-2025-59775, CVE-2025-53020, CVE-2013-2765, CVE-2024-43394, CVE-2007-4723, CVE-2013-0941, CVE-2013-0942, CVE-2025-65082, CVE-2025-23048, CVE-2025-49812, CVE-2024-43204"
5.59.198.158,Ukraine,7547,Servisnet Ltd.,Servisnet Ltd.,['kopiyka.net'],2026-03-31 18:02:26.968904,,,
185.86.78.96,Ukraine,3389,GMHOST datacenter,Mulgin Alexander Sergeevich,['801444-vds-sergiobellotti777.gmhost.pp.ua'],2026-03-31 18:02:26.135215,Remote Desktop Protocol,,
193.169.189.231,Ukraine,587,HOSTPRO LAB LLC,HOSTPRO LAB LLC,['193.169.189.231.hostpro.com.ua'],2026-03-31 18:02:24.206671,Postfix smtpd,,
176.117.185.229,Ukraine,53,Uteam LTD,Uteam LTD,[],2026-03-31 18:02:22.913866,,,
176.36.231.95,Ukraine,8080,Lanet Network Ltd,Lanet Network Ltd,['host-176-36-231-95.b024.la.net.ua'],2026-03-31 18:02:20.309118,nginx,1.8.1,"CVE-2017-7529, CVE-2016-4450, CVE-2017-20005, CVE-2016-1247, CVE-2021-23017, CVE-2021-3618, CVE-2019-20372, CVE-2018-16845"
194.44.29.236,Ukraine,1234,Academic & Research Institutions,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and Research Network"" of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)",[],2026-03-31 18:02:20.206845,,,
45.94.158.180,Ukraine,2003,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:02:16.312729,nginx,,
45.94.158.206,Ukraine,2003,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:02:14.146677,nginx,,
77.52.189.182,Ukraine,554,Ukrainian Mobile Communications,PrJSC VF UKRAINE,[],2026-03-31 18:02:13.606480,,,
138.124.62.185,Ukraine,22,HOSTLINE LTD,STARK INDUSTRIES SOLUTIONS LTD,[],2026-03-31 18:02:13.314920,,,
178.95.11.71,Ukraine,22,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:13.023248,OpenSSH,8.4p1 Debian 5+deb11u3\r\n,
195.28.182.245,Ukraine,3128,Friendhosting LTD,GREEN FLOID LLC,['akoly170982.vds'],2026-03-31 18:02:12.202030,Squid http proxy,2.7.STABLE9,
194.44.63.54,Ukraine,143,UA ZZ 940217,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and Research Network"" of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)",[],2026-03-31 18:02:11.797092,,,
213.160.144.157,Ukraine,8830,CYBERARENA TV LLC,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",[],2026-03-31 18:02:08.294163,,,
185.39.224.4,Ukraine,10020,Hosting Ukraine VPS servers network,Hosting Ukraine LTD,['web904.default-host.net'],2026-03-31 18:02:05.838006,,,
195.191.126.134,Ukraine,8080,PE Romanika Andriy Oleksandrovych,PE Romanika Andriy Oleksandrovych,['126-134.netmaster.kiev.ua'],2026-03-31 18:02:04.355866,nginx,,
109.227.96.59,Ukraine,52881,McLaut network,"LLC ""McLaut-Invest""",['109-227-96-59.dynamic-pool.mclaut.cc'],2026-03-31 18:02:03.077774,,,
178.93.224.147,Ukraine,80,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:03.027174,Apache httpd,2.4.65,"CVE-2025-55753, CVE-2013-0942, CVE-2012-4001, CVE-2025-65082, CVE-2013-0941, CVE-2009-2299, CVE-2025-66200, CVE-2011-1176, CVE-2011-2688, CVE-2025-59775, CVE-2025-58098, CVE-2007-4723, CVE-2013-2765, CVE-2013-4365, CVE-2009-0796, CVE-2012-3526, CVE-2012-4360"
178.95.73.89,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:02:01.530308,,,
178.92.51.66,Ukraine,8885,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:01:59.844005,,,
91.241.100.239,Ukraine,8443,Lanet Network Ltd,Lanet Network Ltd,['host-91-241-100-239.la.net.ua'],2026-03-31 18:01:59.226961,Chromecast,,
91.234.34.215,Ukraine,8080,TheHost LLC,TheHost LLC,['sportnidobavki.com'],2026-03-31 18:01:55.819000,,,
193.238.155.27,Ukraine,80,GREEN FLOID LLC,GREEN FLOID LLC,['20260304.riga'],2026-03-31 18:01:51.895599,,,
46.107.227.134,Ukraine,2000,Internet service SG450017,Szatmarnet Bt.,['46.107.227.134.szatmarnet.hu'],2026-03-31 18:01:51.673120,MikroTik bandwidth-test server,,
178.94.189.216,Ukraine,6000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:01:51.644420,,,
31.202.17.191,Ukraine,80,"Maxnet LLC, Kharkiv","MAXNET TELECOM, LTD",['31-202-17-191-kh.maxnet.ua'],2026-03-31 18:01:49.663232,,,
